day,start time,duration,room name,track,title,participants
Sat,3:00 PM,1:00,Room 201,Fan Interest,Organizing the Fannish Home: Conquering Clutter,"Persis L Thorndike, Bey Woodward, Jennifer Hunter, Catherine Kane, Andrew Campbell"
Sat,3:00 PM,1:00,Room 204,Fan Interest,SMOF 101: How to Start a Con,"Ellen Kranzer, JeffWarner, Lisa Wood, Hugh Casey"
Sat,3:00 PM,1:00,William Dawes A,Literature,Short Fiction is Not Dead,"Jeanne Cavelos, Susan Hanniford Crowley, Jennifer Pelland, Allen Steele, John Bowker, Trish Wilson"
Sat,3:00 PM,1:00,William Dawes B,Literature,Women Writers in Horror,"Alicia ""Kestrell"" Verlager, Mercy E Van Vlack, Jennifer Williams, Joy Marchand, Susan Casper"
Sat,4:00 PM,1:00,Charles View Ballroom,Art,Tour of the Art Show with Sarah Clemens,Sarah Clemens
Sat,4:00 PM,1:00,Crispus Attucks,Music,Bloody Songs,"Ellen Kranzer, John Hodges"
Sat,4:00 PM,1:00,Fast Track 1,Fast Track,Higgins Armory: Swordplay,Jeffery Forgeng
Sat,4:00 PM,1:00,Fast Track 2,Fast Track,Learn to Crochet ,"Shana Fuqua, Kristina Finan, Jill R. Singer"
Sat,4:00 PM,1:00,Haym Solomon,Literature,Arthurian Legends: The Ultimate Fanfic,"Esther Friesner, James Macdonald, Beth Zuckerman, Hugh Casey"
Sat,4:00 PM,1:00,Molly Pitcher,Media,"Science in Movies: Good,  Bad, and Stupid ","Rebecca L Kletnieks, Eric M Van, Mitchell Morris, Michael Bonet, Dr. Jason S. Schneiderman"
Sat,4:00 PM,1:00,Paul Revere A,Literature,Interstitial Fiction: Dancing Between Genres,"Rachel Silber, Sarah Smith, Joy Marchand, Shira Lipkin, Daniel Rabuzzi"
Sat,4:00 PM,1:00,Paul Revere B,Fan Interest,Poly 125: Swinging v. Polyamory,"Larry Nelson, Ian Cooper Rose, Michelle Driscoll, Darkteddybear, Calliope"
Sat,4:00 PM,1:00,Room 201,Literature,Whither Hard SF?,"Alexander Jablokov, Danielle Ackley-McPhail, Allen Steele, Mark L Van Name, Mike McPhail"
Sat,4:00 PM,8:00,Room 204,Gaming,A Game of Kings - Vampire LARP,"Michael Dlott, Katarine Davis, Melissa Hamilton"
Sat,4:00 PM,4:00,Thomas Paine AB,Gaming,"MyRe1-1: ""Something Fishy in Seros"" ",Michael Seidman
Sat,4:00 PM,1:00,William Dawes A,Art,The Business of Art,"Mimi Noyes, E. J. Barnes, Lori Del Genis, Thomas Traina, Kythryne Aisling"
Sat,4:00 PM,1:00,William Dawes B,Fan Interest,How Fans Hurt and Help Public Faces of Fandom,"Thomas F Restivo, Stephanie Clarkson, Jennifer Williams, Vikki Rose, Everett Soares"
Sat,5:00 PM,1:00,Crispus Attucks,Music,Shanty Sing,"Jeff Keller, Shana Fuqua, Sonya Taaffe, S. J. Tucker, Betsy Tinney"
Sat,5:00 PM,1:00,Fast Track 1,Fast Track,Mouth Sounds,Peter Breton
Sat,5:00 PM,1:00,Haym Solomon,Fan Interest,Alternative Marriages,"Alan Wexelblat, Thomas Traina, Ian Cooper Rose, Aimee Bouchard, Daniel Miller"
